name	letter	transform	code	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Eld Rune	r02L	18	r02	undead-heal		150	150	dmg-undead		30	30					ac-miss		50	50									ac-miss		50	50								0
Tir Rune	r03L	18	r03	demon-heal		3	3	dmg-demon		30	30					ac-hth		50	50									ac-hth		50	50								0
Nef Rune	r04L	18	r04	knock		1	1									block		5	5									block		7	7								0
Eth Rune	r05L	18	r05	regen-mana		20	20									regen-mana		15	15									regen-mana		20	20								0
Ith Rune	r06L	18	r06	regen		20	20									regen		15	15									regen		20	20								0
Tal Rune	r07L	18	r07	dmg-pois	250	307	307									res-pois		30	30									res-pois		35	35								0
Ral Rune	r08L	18	r08	hit-skill	Firestorm	100	19									res-fire		30	30									res-fire		35	35								0
Ort Rune	r09L	18	r09	kill-skill	Static Field	100	2									res-ltng		35	35									res-ltng		40	40								0
Thul Rune	r10L	18	r10	kill-skill	Frost Nova	100	17									res-cold		35	35									res-cold		40	40								0
Amn Rune	r11L	18	r11	heal-kill		7	7									thorns		14	14	red-dmg		14	14					thorns		14	14	red-dmg		14	14				0
Sol Rune	r12L	18	r12	dmg	0	21	21									abs-mag		14	14									abs-mag		14	14								0
Shael Rune	r13L	18	r13	swing2		20	20									balance2		20	20									block2		20	20								0
Dol Rune	r14L	18	r14	dmg%		30	30									regen		80	80									regen		80	80								0
Hel Rune	r15L	18	r15	ease		-20	-20									ease		-15	-15									ease		-15	-15								0
Io Rune	r16L	18	r16	vit		30	30									vit		30	30									vit		30	30								0
Lum Rune	r17L	18	r17	enr		30	30									enr		30	30									enr		30	30								0
Ko Rune	r18L	18	r18	dex		30	30									dex		30	30									dex		30	30								0
Fal Rune	r19L	18	r19	str		30	30									str		30	30									str		30	30								0
Lem Rune	r20L	18	r20	heal-kill		20	20									heal-kill		20	20									heal-kill		20	20								0
Pul Rune	r21L	18	r21	att-demon		100	100	dmg-demon		75	75					ac%		30	30									ac%		30	30								0
Um Rune	r22L	18	r22	openwounds		100	100									res-all		15	15									res-all		22	22								0
Mal Rune	r23L	18	r23	noheal		1	1									red-mag		7	7									red-mag		7	7								0
Ist Rune	r24L	18	r24	dmg%		50	50									mag%		25	25									mag%		25	25								0
Gul Rune	r25L	18	r25	dmg-pois	300	3280	3280									res-pois-max		5	5									res-pois-max		5	5								0
Vex Rune	r26L	18	r26	hit-skill	Firestorm	25	39									res-fire-max		5	5									res-fire-max		5	5								0
Ohm Rune	r27L	18	r27	kill-skill	Static Field	100	5									res-ltng-max		5	5									res-ltng-max		5	5								0
Lo Rune	r28L	18	r28	kill-skill	Frost Nova	100	27									res-cold-max		5	5									res-cold-max		5	5								0
Sur Rune	r29L	18	r29	deadly		20	20									mana%		10	10									mana		100	100								0
Ber Rune	r30L	18	r30	crush		20	20									red-dmg%		10	10									red-dmg%		10	10								0
Jah Rune	r31L	18	r31	reduce-ac		25	25									hp%		10	10									hp		150	150								0
Cham Rune	r32L	18	r32	freeze		3	3									nofreeze		1	1									nofreeze		1	1								0
Zod Rune	r33L	18	r33	indestruct		1	1									indestruct		1	1									indestruct		1	1								0
